"GWAS","LOC_NUM","GENE","Pubmed hits","Pubmed hits gene only"
"META5",25,"HPF1",0,17
"META5",25,"LINC01612",0,0
"META5",25,"LINC02275",0,0
"META5",25,"MFAP3L",0,5
"META5",25,"NEK1",1,102
"META5",25,"PALLD",0,33
"META5",25,"SH3RF1",0,11
"META5",26,"C5orf64",0,1
"META5",26,"C5orf64-AS1",0,0
"META5",26,"DEPDC1B",0,21
"META5",26,"ELOVL7",2,27
"META5",26,"ERCC8",0,60
"META5",26,"LINC02057",0,0
"META5",26,"LOC101928651",0,0
"META5",26,"NDUFAF2",0,18
"META5",26,"PART1",1,44
"META5",26,"PDE4D",3,605
"META5",26,"SMIM15",0,0
"META5",26,"SMIM15-AS1",0,0
"META5",26,"ZSWIM6",0,7
"META5",27,"C5orf30",0,12
"META5",27,"GIN1",0,16
"META5",27,"LINC00491",0,6
"META5",27,"LINC00492",0,0
"META5",27,"LINC02115",0,0
"META5",27,"NUDT12",0,11
"META5",27,"PAM",49,7288
"META5",27,"PPIP5K2",0,15
"META5",27,"SLCO4C1",0,20
"META5",27,"SLCO6A1",0,6
"META5",28,"C5orf15",0,0
"META5",28,"C5orf24",0,1
"META5",28,"C5orf66",0,9
"META5",28,"C5orf66-AS1",0,8
"META5",28,"C5orf66-AS2",0,0
"META5",28,"CAMLG",0,10
"META5",28,"CATSPER3",0,11
"META5",28,"CDKL3",0,13
"META5",28,"CDKN2AIPNL",0,3
"META5",28,"CXCL14",1,290
"META5",28,"DCANP1",0,0
"META5",28,"DDX46",0,11
"META5",28,"H2AFY",0,29
"META5",28,"JADE2",0,2
"META5",28,"LINC01843",0,0
"META5",28,"LOC102546229",0,0
"META5",28,"LOC105379183",0,0
"META5",28,"LOC107986453",0,0
"META5",28,"MIR3661",0,0
"META5",28,"MIR5692C1",0,0
"META5",28,"NEUROG1",1,213
"META5",28,"PCBD2",0,7
"META5",28,"PITX1",0,265
"META5",28,"PPP2CA",0,64
"META5",28,"SAR1B",0,51
"META5",28,"SEC24A",0,25
"META5",28,"SKP1",14,1270
"META5",28,"SLC25A48",1,1
"META5",28,"SLC25A48-AS1",0,0
"META5",28,"TCF7",0,233
"META5",28,"TIFAB",0,12
"META5",28,"TXNDC15",0,3
"META5",28,"UBE2B",0,34
"META5",28,"VDAC1",17,566
"META5",28,"WSPAR",0,2
"META5",29,"GPX5",0,87
"META5",29,"GPX6",0,30
"META5",29,"GUSBP2",0,2
"META5",29,"HIST1H1B",0,7
"META5",29,"HIST1H2AG",0,2
"META5",29,"HIST1H2AH",0,2
"META5",29,"HIST1H2AI",0,1
"META5",29,"HIST1H2AJ",0,4
"META5",29,"HIST1H2AK",0,0
"META5",29,"HIST1H2AL",0,3
"META5",29,"HIST1H2AM",0,3
"META5",29,"HIST1H2BJ",0,10
"META5",29,"HIST1H2BK",0,11
"META5",29,"HIST1H2BL",0,2
"META5",29,"HIST1H2BM",0,4
"META5",29,"HIST1H2BN",0,2
"META5",29,"HIST1H2BO",0,5
"META5",29,"HIST1H3H",0,6
"META5",29,"HIST1H3I",0,0
"META5",29,"HIST1H3J",0,4
"META5",29,"HIST1H4I",0,0
"META5",29,"HIST1H4J",0,2
"META5",29,"HIST1H4K",0,6
"META5",29,"HIST1H4L",0,2
"META5",29,"LINC00240",0,3
"META5",29,"LINC00533",0,0
"META5",29,"LINC01012",0,0
"META5",29,"LOC100131289",0,0
"META5",29,"LOC100270746",0,0
"META5",29,"MIR3143",0,1
"META5",29,"NKAPL",0,11
"META5",29,"OR1F12",0,2
"META5",29,"OR2B2",0,0
"META5",29,"OR2B6",0,3
"META5",29,"PGBD1",0,10
"META5",29,"POM121L2",0,3
"META5",29,"PRSS16",0,25
"META5",29,"TOB2P1",0,0
"META5",29,"VN1R10P",0,0
"META5",29,"ZBED9",0,0
"META5",29,"ZKSCAN3",1,22
"META5",29,"ZKSCAN4",0,7
"META5",29,"ZKSCAN8",0,0
"META5",29,"ZNF165",0,12
"META5",29,"ZNF184",5,11
"META5",29,"ZNF192P1",0,0
"META5",29,"ZNF204P",0,0
"META5",29,"ZNF391",0,1
"META5",29,"ZSCAN12",0,7
"META5",29,"ZSCAN12P1",0,0
"META5",29,"ZSCAN16",0,5
"META5",29,"ZSCAN16-AS1",0,0
"META5",29,"ZSCAN23",0,2
"META5",29,"ZSCAN26",0,0
"META5",29,"ZSCAN31",0,2
"META5",29,"ZSCAN9",0,2
"META5",30,"ABCF1",0,39
"META5",30,"ATAT1",0,23
"META5",30,"C6orf136",0,2
"META5",30,"C6orf15",0,5
"META5",30,"CDSN",0,98
"META5",30,"DDR1",2,412
"META5",30,"DHX16",0,9
"META5",30,"FLOT1",1,64
"META5",30,"GABBR1",0,91
"META5",30,"GNL1",0,19
"META5",30,"GTF2H4",0,12
"META5",30,"HCG17",0,2
"META5",30,"HCG18",0,9
"META5",30,"HCG20",0,0
"META5",30,"HCG21",0,2
"META5",30,"HCG22",0,22
"META5",30,"HCG4",0,4
"META5",30,"HCG4B",0,2
"META5",30,"HCG9",0,13
"META5",30,"HCP5B",0,0
"META5",30,"HLA-A",4,10058
"META5",30,"HLA-E",0,856
"META5",30,"HLA-F",0,222
"META5",30,"HLA-F-AS1",0,4
"META5",30,"HLA-G",0,2221
"META5",30,"HLA-H",0,98
"META5",30,"HLA-J",0,14
"META5",30,"HLA-L",1,1
"META5",30,"HLA-V",0,1
"META5",30,"IER3",0,118
"META5",30,"IER3-AS1",0,0
"META5",30,"IFITM4P",0,0
"META5",30,"LINC00243",0,1
"META5",30,"LINC01015",0,0
